pgmigrate_success 3179407
pgmigrate_fail 165519
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 5246
pgmigrate_fail_numa_isolate_fail 5541
pgmigrate_fail_nomem_fail 279
pgmigrate_fail_refcount_fail 30017
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       547605096 kB
MemFree:        527687020 kB
MemAvailable:   526741144 kB
Buffers:           91768 kB
Cached:           307808 kB
SwapCached:        81872 kB
Active:           145332 kB
Inactive:         612568 kB
Active(anon):      35608 kB
Inactive(anon):   327092 kB
Active(file):     109724 kB
Inactive(file):   285476 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1731324 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:        344244 kB
Mapped:           154576 kB
Shmem:              4364 kB
KReclaimable:     212304 kB
Slab:             646368 kB
SReclaimable:     212304 kB
SUnreclaim:       434064 kB
KernelStack:       32096 kB
PageTables:        32896 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    275899696 kB
Committed_AS:    6626160 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137764 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      668136 kB
DirectMap2M:     9488384 kB
DirectMap1G:    1131413504 kB
