pgmigrate_success 4024533
pgmigrate_fail 85
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       551170540 kB
MemFree:        521686240 kB
MemAvailable:   530426008 kB
Buffers:           58032 kB
Cached:         10523968 kB
SwapCached:        66400 kB
Active:           109544 kB
Inactive:       10662956 kB
Active(anon):      20924 kB
Inactive(anon):   171868 kB
Active(file):      88620 kB
Inactive(file): 10491088 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1582264 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:        176212 kB
Mapped:           265696 kB
Shmem:              2292 kB
KReclaimable:     238504 kB
Slab:             538328 kB
SReclaimable:     238504 kB
SUnreclaim:       299824 kB
KernelStack:       42336 kB
PageTables:        47128 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277682416 kB
Committed_AS:   11272484 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      151016 kB
VmallocChunk:          0 kB
Percpu:           133952 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      485864 kB
DirectMap2M:     8056832 kB
DirectMap1G:    1136656384 kB
