pgmigrate_success 7847
pgmigrate_fail 1
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 5621
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 52
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 777
thp_split_pmd 777
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 3103
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 3045467
htmm_alloc_nvm 844463
MemTotal:       1184200808 kB
MemFree:        1163622304 kB
MemAvailable:   1161682028 kB
Buffers:          174584 kB
Cached:          1110396 kB
SwapCached:            0 kB
Active:           412124 kB
Inactive:        3161504 kB
Active(anon):          0 kB
Inactive(anon):  2294708 kB
Active(file):     412124 kB
Inactive(file):   866796 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                20 kB
Writeback:             0 kB
AnonPages:        714660 kB
Mapped:           377548 kB
Shmem:              6132 kB
KReclaimable:     382576 kB
Slab:             799460 kB
SReclaimable:     382576 kB
SUnreclaim:       416884 kB
KernelStack:       31344 kB
PageTables:        32800 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6595168 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      195672 kB
VmallocChunk:          0 kB
Percpu:           124096 kB
HardwareCorrupted:     0 kB
AnonHugePages:    106496 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      542184 kB
DirectMap2M:     8331264 kB
DirectMap1G:    1180696576 kB
