pgmigrate_success 17140241
pgmigrate_fail 56021
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 843514
pgmigrate_fail_numa_isolate_fail 843526
pgmigrate_fail_nomem_fail 46
pgmigrate_fail_refcount_fail 1964
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       561485416 kB
MemFree:        540809348 kB
MemAvailable:   539785532 kB
Buffers:           62924 kB
Cached:           377060 kB
SwapCached:            4 kB
Active:            22260 kB
Inactive:        1010220 kB
Active(anon):        816 kB
Inactive(anon):   597900 kB
Active(file):      21444 kB
Inactive(file):   412320 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096636 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        592620 kB
Mapped:           372840 kB
Shmem:              6208 kB
KReclaimable:     181812 kB
Slab:             561796 kB
SReclaimable:     181812 kB
SUnreclaim:       379984 kB
KernelStack:       31664 kB
PageTables:        31324 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    282839856 kB
Committed_AS:    6698036 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      190836 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      560616 kB
DirectMap2M:    10409984 kB
DirectMap1G:    1180696576 kB
