pgmigrate_success 331434
pgmigrate_fail 25
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       553853420 kB
MemFree:        534491816 kB
MemAvailable:   533444288 kB
Buffers:            5548 kB
Cached:           347052 kB
SwapCached:          424 kB
Active:           185568 kB
Inactive:         749720 kB
Active(anon):        596 kB
Inactive(anon):   586564 kB
Active(file):     184972 kB
Inactive(file):   163156 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2090596 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        581724 kB
Mapped:           344592 kB
Shmem:              5372 kB
KReclaimable:     174956 kB
Slab:             455668 kB
SReclaimable:     174956 kB
SUnreclaim:       280712 kB
KernelStack:       31520 kB
PageTables:        42112 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279023856 kB
Committed_AS:    6583040 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140016 kB
VmallocChunk:          0 kB
Percpu:           134848 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      440808 kB
DirectMap2M:     8730624 kB
DirectMap1G:    1138753536 kB
