pgmigrate_success 20399638
pgmigrate_fail 45683711
thp_migration_success 9285
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 31099
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 2
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       558607856 kB
MemFree:        538096068 kB
MemAvailable:   537126296 kB
Buffers:           67172 kB
Cached:           444108 kB
SwapCached:         3148 kB
Active:           184536 kB
Inactive:         945088 kB
Active(anon):      79912 kB
Inactive(anon):   543584 kB
Active(file):     104624 kB
Inactive(file):   401504 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2062456 kB
Dirty:              1252 kB
Writeback:             0 kB
AnonPages:        617832 kB
Mapped:           404308 kB
Shmem:              5224 kB
KReclaimable:     228632 kB
Slab:             539524 kB
SReclaimable:     228632 kB
SUnreclaim:       310892 kB
KernelStack:       31968 kB
PageTables:        44976 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    281401076 kB
Committed_AS:    6716704 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140456 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      460264 kB
DirectMap2M:     8413184 kB
DirectMap1G:    1182793728 kB
