[ 4140.592076] ----------del memcg from kmigraterd unlock----------
[ 4144.528889] ----------------kmigraterd run normally----------------
[ 4144.528919] ----------------kmigraterd run normally----------------
[ 4144.545231] in system call ksamplingd init
[ 4144.545236] the pid we sample: 34166
[ 4144.545277] the pid we sample: 34166
[ 4144.545304] the pid we sample: 34166
[ 4144.545330] the pid we sample: 34166
[ 4144.545396] the pid we sample: 34166
[ 4144.545423] the pid we sample: 34166
[ 4144.545451] the pid we sample: 34166
[ 4144.545477] the pid we sample: 34166
[ 4144.545498] the pid we sample: 34166
[ 4144.545520] the pid we sample: 34166
[ 4144.545547] the pid we sample: 34166
[ 4144.545575] the pid we sample: 34166
[ 4144.545608] the pid we sample: 34166
[ 4144.545634] the pid we sample: 34166
[ 4144.545658] the pid we sample: 34166
[ 4144.545681] the pid we sample: 34166
[ 4144.545710] the pid we sample: 34166
[ 4144.545741] the pid we sample: 34166
[ 4144.545772] the pid we sample: 34166
[ 4144.545796] the pid we sample: 34166
[ 4144.545818] the pid we sample: 34166
[ 4144.545839] the pid we sample: 34166
[ 4144.545871] the pid we sample: 34166
[ 4144.545899] the pid we sample: 34166
[ 4144.545930] the pid we sample: 34166
[ 4144.545953] the pid we sample: 34166
[ 4144.545976] the pid we sample: 34166
[ 4144.545998] the pid we sample: 34166
[ 4144.546024] the pid we sample: 34166
[ 4144.546058] the pid we sample: 34166
[ 4144.546086] the pid we sample: 34166
[ 4144.546107] the pid we sample: 34166
[ 4144.546136] the pid we sample: 34166
[ 4144.546158] the pid we sample: 34166
[ 4144.546188] the pid we sample: 34166
[ 4144.546214] the pid we sample: 34166
[ 4144.546244] the pid we sample: 34166
[ 4144.546270] the pid we sample: 34166
[ 4144.546293] the pid we sample: 34166
[ 4144.546316] the pid we sample: 34166
[ 4144.546343] the pid we sample: 34166
[ 4144.546373] the pid we sample: 34166
[ 4144.546407] the pid we sample: 34166
[ 4144.546429] the pid we sample: 34166
[ 4144.546452] the pid we sample: 34166
[ 4144.546473] the pid we sample: 34166
[ 4144.546501] the pid we sample: 34166
[ 4144.546532] the pid we sample: 34166
[ 4144.546559] the pid we sample: 34166
[ 4144.546583] the pid we sample: 34166
[ 4144.546605] the pid we sample: 34166
[ 4144.546629] the pid we sample: 34166
[ 4144.546662] the pid we sample: 34166
[ 4144.546690] the pid we sample: 34166
[ 4144.546720] the pid we sample: 34166
[ 4144.546744] the pid we sample: 34166
[ 4144.546770] the pid we sample: 34166
[ 4144.546792] the pid we sample: 34166
[ 4144.546818] the pid we sample: 34166
[ 4144.546850] the pid we sample: 34166
[ 4144.546878] the pid we sample: 34166
[ 4144.546906] the pid we sample: 34166
[ 4144.546930] the pid we sample: 34166
[ 4144.546952] the pid we sample: 34166
[ 4144.546983] the pid we sample: 34166
[ 4144.547012] the pid we sample: 34166
[ 4144.547045] the pid we sample: 34166
[ 4144.547070] the pid we sample: 34166
[ 4144.547090] the pid we sample: 34166
[ 4144.547113] the pid we sample: 34166
[ 4144.547140] the pid we sample: 34166
[ 4144.547172] the pid we sample: 34166
[ 4144.547202] the pid we sample: 34166
[ 4144.547224] the pid we sample: 34166
[ 4144.547247] the pid we sample: 34166
[ 4144.547269] the pid we sample: 34166
[ 4144.547302] the pid we sample: 34166
[ 4144.547330] the pid we sample: 34166
[ 4144.547361] the pid we sample: 34166
[ 4144.547386] the pid we sample: 34166
[ 4144.547407] the pid we sample: 34166
[ 4144.547428] the pid we sample: 34166
[ 4144.547457] the pid we sample: 34166
[ 4144.547488] the pid we sample: 34166
[ 4144.547519] peb init ok then run ksamplingd
[ 4144.547583] ------------ksamplingd run normally------------
[ 4324.827058] total runtime: 111127142 ns, total cputime: 180280000 us, cpu usage: 0
[ 4324.827069] ------------ksamplingd exit normally------------
