pgmigrate_success 9304
pgmigrate_fail 13
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 0
pgmigrate_fail_numa_isolate_fail 0
pgmigrate_fail_nomem_fail 13
pgmigrate_fail_refcount_fail 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1095079524 kB
MemFree:        1074619756 kB
MemAvailable:   1072482532 kB
Buffers:            5660 kB
Cached:           395972 kB
SwapCached:            0 kB
Active:            72056 kB
Inactive:         908256 kB
Active(anon):        412 kB
Inactive(anon):   584448 kB
Active(file):      71644 kB
Inactive(file):   323808 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:        578824 kB
Mapped:           392900 kB
Shmem:              6208 kB
KReclaimable:     183984 kB
Slab:             564100 kB
SReclaimable:     183984 kB
SUnreclaim:       380116 kB
KernelStack:       31440 kB
PageTables:        30164 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    549636908 kB
Committed_AS:    6686044 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      190588 kB
VmallocChunk:          0 kB
Percpu:           148288 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      615912 kB
DirectMap2M:    10354688 kB
DirectMap1G:    1178599424 kB
