pgmigrate_success 37937
pgmigrate_fail 64
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1107011776 kB
MemFree:        1086913060 kB
MemAvailable:   1084789828 kB
Buffers:            6152 kB
Cached:           405096 kB
SwapCached:            0 kB
Active:          1094260 kB
Inactive:         350360 kB
Active(anon):    1021540 kB
Inactive(anon):    16960 kB
Active(file):      72720 kB
Inactive(file):   333400 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               468 kB
Writeback:             0 kB
AnonPages:       1032488 kB
Mapped:           401056 kB
Shmem:              6204 kB
KReclaimable:     294188 kB
Slab:             670920 kB
SReclaimable:     294188 kB
SUnreclaim:       376732 kB
KernelStack:       32104 kB
PageTables:        35332 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    555603036 kB
Committed_AS:    6833468 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      156964 kB
VmallocChunk:          0 kB
Percpu:           117376 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      878056 kB
DirectMap2M:     9043968 kB
DirectMap1G:    1179648000 kB
